Dispositivo BDI;ENTORNO;APP-SERVICE;SERVICIO;APLICACION SOFTWARE;ESTADO APLICACIÓN;DOCKER;VERSION;URL;Ruta Documentación;USO INTERNO/EXTERNO;OBSERVACION;IP;BBDD
SANPHP01;PRODUCCION;APLICACIÓN;Mision - Proyecto Retech, redes territoriales de especialización tecnológica.;Nextcloud - Mision;ALTA;false;;https://mision.sandetel.int;;EXTERNO;Instancia Nextcloud para proyecto RETECH ;;María DB alojada en SANBDTI01 
SANEXTCL01;PRODUCCION;APLICACIÓN;Moodle;Moodle;DESARROLLO;true;;https://formacion.sandetel.es;;EXTERNO; lLa version .es de Moodle se instala en docker;;Base de datos - MariaDB en Docker
SANEXTCL01;PRODUCCION;APLICACIÓN;Gestion de proyectos;OpenProject;ALTA;true;;https://openproject.sandetel.es/.;;EXTERNO;Open source project management software;;SANBDTI01 -- MariaDB
SANEXTCL01;PRODUCCION;APLICACIÓN;Herramientra manipulación y edición de PDF;Sterling PDF;ALTA;true;;https://pdf.sandetel.es;;EXTERNO;"No se almacenan pdf; toda la gestión de archivos es en local. 01/2025 --> Se pasa al .es";;
SANTAQ01;PRODUCCION;SERVICIO;Gestion usuarios y aperta de taquillas en oficinas SDT-;Metra - Software taquillas;ALTA;false;;https://taquillas.sandetel.es;;EXTERNO;;10.240.217.175;FIREBIRD (SQL Server Free - Insstalado en la misma MV)
SANEXTCL01;PRODUCCION;APLICACIÓN;Monitorización y métricas;Grafana;ALTA;true;;https://grafana.sandetel.int/.;;INTERNO;;;
SANEXTCL01;PRODUCCION;SERVICIO;Herramienta web para gestionar contenedores Docker.​;Portainer;ALTA;true;;https://portainer.sandetel.es/.;;INTERNO;01/2025 --> Se pasa al .es el servicio.;;
SANEXTCL01;PRODUCCION;APLICACIÓN;Herramienta para proporcionar acceso de confianza cero a servidores y aplicaciones en la nube utilizando SSH, Kubernetes y HTTPS.;Teleport;DESARROLLO;true;;https://teleport.sandetel.int/.;;INTERNO;;;
SANPHP01;PRODUCCION;APLICACIÓN;Moodle;Moodle;ALTA;false;;https://formacion.sandetel.int;;EXTERNO;Moodle para el personal de Sandetel.;;SANEXTCL01 - Postgres en Docker
SANEXTCL01;PRODUCCION;SERVICIO;Docker-Ext/ Nuevo servicio de Office para NC;Collabora;ALTA;true;;https://collabora.sandetel.es/;;EXTERNO;Aplicación publicada en internet.;;
SANTI02;PRODUCCION;APLICACIÓN;Informes Auditoria de Usuarios, Ficheros, permisos y carpetas;Quest - Report Manager;ALTA;false;;Sin URL asociada;;INTERNO;Para hacer los descubrimiento se usa tanto SANTI01 como SANTI02;;SQL Server - P:10.240.214.125 Port:1433 - SQL2017QUEST2/SQL2017QUEST2 -
SANTI01;PRODUCCION;SERVICIO;Informes Auditoria de Usuarios, Ficheros, permisos y carpetas;Quest -Chage Auditor;ALTA;false;;https://quest-ca.sandetel.int;;INTERNO;Coordiandor 01 / existe optrop coordinador en SANDEG02. El acceso web es límitado, recomendable acceder desde la máquina;;SQL Server - P:10.240.214.125 Port:1433 - SQL2017QUEST2/SQL2017QUEST2 -
SANPHP01;PRODUCCION;APLICACIÓN;Proyecto Ordenciti - Smart Cities;Nextcloud-Ordenciti;ALTA;false;;https://ordenciti.sandetel.int;;EXTERNO;Instancia Nextcloud para proyecto Ordenciti - Smart CitiesSandetel (05/06/2023 se migra de SANOFI a SANPHP);;María DB alojada en SANBDTI01
SANPHP01;PRODUCCION;APLICACIÓN;Proyecto Wifi;Nextcloud-Wifi;ALTA;false;;https://wifi.cloud.sandetel.int --> https://wifi-cloud.sandetel.es;;EXTERNO;"Instancia Nextcloud para proyecto WIFI Sandetel; 19/06/2023-->Migrado a SANPHP01 ";;María DB alojada en SANBDTI01
SANPHP01;PRODUCCION;APLICACIÓN;REJA -Red Emergencias Junta de Andalucía;Nextcloud - Reja;ALTA;false;;https://reja.sandetel.int;;EXTERNO;Instancia Nextcloud para proyecto Red Emergencias Junta Andalucía.  19/06/2023-->Migrado a SANPHP01 ;;María DB alojada en SANBDTI01 
SANWAZ01;PRODUCCION;APLICACIÓN;Aplicación de recogida de estádúisticas de uso de diferente aplicaciones;Matomo - Estadisticas;ALTA;false;;https://stats.sandetel.es;;INTERNO;"29/12/2022: BBDD Migrada a SANBDTI01; 09/2023 --> Se publica en intgernet (.es) para obtener datos de aplicaciones que se encuentren publicadas fuera de RCJA";;SANBDTI01 - MariaDB del área TI
SANPHP01;PRODUCCION;APLICACIÓN;Wiki documicro;Documicro;ALTA;false;;https://documicro.sandetel.es;;INTERNO;"Servicio migrado de SANPHPT01; se pasa al .es en 01/2025";;
SANVDI02;PRODUCCION;SERVICIO;Virtualización De Escritorio (Navisión y Nóminas);"RDWA Remote Desktop Web Access (IIS);  RDCB Remote Desktop Connection Broker; RDSH Remote Desktop  Host Session";ALTA;;Clonada de SANVDI01;;;EXTERNO;Pdte de validación ;;
SANNOM01;PRODUCCION;SERVICIO;NÓMINAS Y MATERIAL DE OFICINA;NÓMINAS Y MATERIAL DE OFICINA - PRO;ALTA;;ORIGINAL DE BOLLULLOS Clonada de VM DESANNOM01 ;https://empleados.sandetel.es/;;EXTERNO;En PRO es modalidad gestionada. No existe entorno de PRE. En DES-Sandetel la VM es en modalidad NO GESTIONADA Se acordó solicitar el paso a producción vía clonado del servicio de nóminas y material de oficina, a partir de lo desplegado en el servidor de desarrollo DESSANNOM01;;
SANEXTCL01;PRODUCCION;SERVICIO;PILOTO ODO;ODO CONECTOR;BAJA;true;;https://eu.connect.checkpoint.com/sandetel / https://portal.checkpoint.com/;;INTERNO;Mayo 2023 --> Se reactiva el proyecto. Queda funcionando y verificado. Instalado como Docker-compose -->/var/www/ODO/docker-compose.yml. Pantalla de configuración: https://portal.checkpoint.com/. SE procede a dar de baja el piloto.;;
SANOFI01;PRODUCCION;APLICACIÓN;Glpi local;GLPI;ALTA;false;;https://inventario.sandetel.int/;;INTERNO;"PHP; 29/12/2022 BBDD Migrada a SANBDTI01";;
SANEXTCL01;PRODUCCION;SERVICIO;Gestor de contraseñas del Área;Vaultwarden;ALTA;true;;https://bitwarden.sandetel.int/;IT-060 Bitwarden - Gestor de contraseñas \\archivo.intcdm.sandetel.int\7.TELE_CDG\5.TEL_PLP\3.GES_PT\Operaciones\Organismos\SAND\Documentos\Actualización y seguridad\Seguridad\#G.Pet;INTERNO;;;
SANEXTCL01;PRODUCCION;APLICACIÓN;Monitorización Seguridad de Servidores Sandetel;Wazuh;ALTA;true;;https://wazuh.sandetel.int/.;;INTERNO;10/2023 --> Se instala en docker la aplicación  ;;
SANEXTCL01;PRODUCCION;APLICACIÓN;GATE - CMDBUILD;Netdata;ALTA;true;;https://netdata.sandetel.es;;INTERNO;Migrada de Sanwaz01;;
SANEXTCL01;PRODUCCION;;Redis cache nextcloud;Redis cache nextcloud;BAJA;true;;Sin URL asociada;;EXTERNO;;;
SANEXTCL01;PRODUCCION;;Docker-Ext/ Aplic migrada de sanofi01 onlioffice para nextcloud /;Onlyoffice;BAJA;true;;https://onlyoffice.sandetel.int/;;EXTERNO;Migrada de Sanofi01;;
SANEXTCL01;PRODUCCION;APLICACIÓN;Docker-Ext/ Aplic migrada de sanofi01 Wekan -app (Kanban);Wekan app y DB;ALTA;true;;https://kanban.sandetel.es;;EXTERNO;"Migrada de Sanofi01;  01/2025 --> Se pasa al .es";;
DESSANBI01;DESARROLLO;SERVICIO;Proyecto Bi-Sandetel - BD Postgres para Navision;Proyecto Bi-Sandetel ;ALTA;;;;;EXTERNO;BAse de datos  postgresql para Navision;;
DESIVAMAN01;DESARROLLO;;Maquina De Pruebas;Maquina De Pruebas;BAJA;false;;;;INTERNO;Anterior VM de pruebas de Ivanti;;
DESSANNOM01;DESARROLLO;SERVICIO;NÓMINAS Y MATERIAL DE OFICINA;NÓMINAS Y MATERIAL DE OFICINA -DES;ALTA;;Original migrada de Maquina física Bollullos;https://empleados.sandetel.int/ ;;EXTERNO;En DES-Sandetel la VM es en modalidad NO GESTIONADA Se acordó solicitar el paso a producción vía clonado del servicio de nóminas y material de oficina, a partir de lo desplegado en el servidor de  desarrollo DESSANNOM01;;
BOLLULLOS;;; Web de Nominas de Sandetel ;Web de NÓminas de Sandetel;BAJA;;;;;EXTERNO;ESTA VM no está operativa. El servicio de nóminas se da por la VM SANNOM01;;
