DISPOSITIVO (BDI);IP Gestion;IP-ETH0 (BDI);IP-ETH1;ENCARGO;SERVICIO GNIV;PROYECTO_SERVICIO_CS;CPU;RAM (GB);DISK (GB);TAMAÑO U;ESPACIO ALM/BCK (GB);ENTORNO;ESTADO;APAGADO/BAJA;HORARIO;TIPO DISPOSITIVO;TIPO EQUIPO;DETALLE SERVICIO;CONTACTOS;ADMINISTRACIÓN;FECHA ALTA;FECHA BAJA;COMENTARIOS;SISTEMA OPERATIVO;TIPO ALOJAMIENTO
ALMCAP01;10.240.216.108;;;SDT_ALM;INTE-SAND-001-INTE-SAND-011;P0005-ALM;;;;;5000.000 ;PRODUCCION;OPERATIVO;;24x7;ALMACENAMIENTO;SERVIDOR DE FICHEROS;CLUSTER SERVIDOR DE FICHEROS ALMSAN01 Y 02.CLUSTER FAILOVER CLSANDETEL01;;100% EXPLOTACIÓN - N2;;;SERVICIO DEL CLUSTER. CLUSTER FAILOVER CLSANDETEL01. Contiene las lun ALMSAN01, ALMSAN02 Y ALM_SAN_QUORUM01;;HOSTING VIRTUAL
ALMSAN01;;10.240.216.93;192.168.6.14/ 192.168.6.254 / 192.168.100.61;SDT_ALM;INTE-SAND-001 INTE-SAND-011;P0005-ALM;2;8;50.000 ;;;PRODUCCION;OPERATIVO;;12x5;SERVIDOR VIRTUAL;Servidor Web / Aplicaciones / Horizontal;Almacenamiento Compartido De Sandetel Para Oficina;Dcucala;100% EXPLOTACIÓN - N2;;;"IP-ETH1: 10.240.216.108/ 10.240.216.109
En proceso de actualización;  prevista acatualizxción a Wibndows 2022 a finales de  junio / pprio julio 2024";Microsoft Windows Server 2012 (64-Bit);HOSTING VIRTUAL
ALMSAN02;;10.240.216.94;192.168.6.13 / 192.168.100.62;SDT_ALM;INTE-SAND-001 INTE-SAND-011;P0005-ALM;2;8;50.000 ;;;PRODUCCION;OPERATIVO;;12x5;SERVIDOR VIRTUAL;Servidor Web / Aplicaciones / Horizontal;Almacenamiento Compartido De Sandetel Para Oficina;Dcucala;100% EXPLOTACIÓN ;;;"En proceso de actualización;  prevista acatualizxción a Wibndows 2022 a finales de  junio / pprio julio 2024";Microsoft Windows Server 2012 (64-Bit);HOSTING VIRTUAL
BODET01;;10.240.228.38;;SDP_PERS;;P0000;;;;1.00000 ;;PRODUCCION;FUERA DE SERVICIO;BAJA;12x5;SERVIDOR FISICO;Servidor en Servicio IAAS;Hp Proliant Dl360G5. Antiguo Bodet De Producción;F.Lebrero;;;2021-08-05;SRQ-925115 Baja bodet01- RFC-947952-  29/07/2021 apagado y tras una semana la baja definitiva. 05/08/2021 baja definitiva;;HOSTING FISICO
BOLLULLOS;10.240.200.112;10.240.200.112;;;Sin especiSDP_PERSficar ;P0000;;;;1.00000 ;;PRODUCCION;FUERA DE SERVICIO;APAGADO;12x5;SERVIDOR FISICO;Servidor Web / Aplicaciones / Horizontal;Hp Proliant Dl360G3;F.Lebrero;100% EXPLOTACION/SSII - AMORENO -> ADM;;;Migrada a SANNOM01.  Web de Nominas de Sandetel . 14/09/2022 Se solicita su apagado sin achatarrar en SRQ-1208499  ;;HOSTING FISICO
CATCAB01;10.240.220.162;;;SDT_ALM;INTE-SAND-001-INTE-SAND-011;P0005-ALM;;;;;51.000 ;PRODUCCION;OPERATIVO;;24x7;ALMACENAMIENTO;CABINA DE DISCOS;"Almacenamiento compartido de Sandetel para oficina - lun_ ALM_SAN_QUORUM01; ALMSAN01; ALMSAN02";;;;;"Lun ALM_SAN_QUORUM01 de 1Gb;  ALMSAN01 de 50Gb; ALMSAN02 de 50 Gb.
LAS ALMSAN01 Y ALMSAN02 VAN A DISTINTOS ENCARGOS. LA LUN ALMSAN01 AL SDT_ALM Y LA LUN ALMSAN02 AL ABONO P0000";;HOSTING FISICO
DESALF01;10.240.234.198;10.240.234.198;10.240.236.88;SDT_ADON;Sin especificar ;P0000;1;2;10.000 ;;;DESARROLLO;FUERA DE SERVICIO;BAJA;12x5;SERVIDOR VIRTUAL;Servidor en Servicio IAAS;;D.Cucala/F.Lebrero;;;2021-07-01;"Propietario CEICE Administrador EXP_IAAS.
DC: Desconocido. Hay al principio de este listado un SADALF01 que supongo estará relacionado, pero no parece nuestro. 
Solicitado apagado en SRQ-911387 y ejecutado el 01/07/2021 .  El 7/10/21 se solicita su Baja previo backup por 1 año y que se pregunte transcurrido dicho tiempo en SRQ-994295 -  RAD-1000122. Se ejecuta la baja el 4/11 ";Red Hat Enterprise As 5 Up 5;HOUSING VIRTUAL
DESCAB02;10.240.220.42;;;Sin especificar (PRE);Sin especificar (PRE);Sin especificar (PRE);;;;;11.000 ;PREPRODUCCION;OPERATIVO;;;ALMACENAMIENTO;CABINA DE DISCOS;"Almacenamiento compartido de Sandetel para oficina  LUN: DPS_ALMSANQUORUM_01; DPS_ALMSAN_01";;;;;" Lun: DPS_ALMSANQUORUM_01 de 1Gb y  DPS_ALMSAN_01 de 10 Gb. PRE para la entrega Cluster Servidor de ficheros.
Se solicita apagado en srq- 978028 de las dpsalmsa02/03 el 17/09/2021, son las VM que dan servicio para Almacenamiento Compartido De Sandetel Para Oficina";;HOSTING FISICO
DESEMP01;10.240.234.80;;;SDT_PERS;Sin especificar ;P0000;1;1;9.000 ;;;DESARROLLO;FUERA DE SERVICIO;BAJA;12x5;SERVIDOR VIRTUAL;Servidor en Servicio IAAS;;D.Cucala;;;2021-07-01;Solicitado apagado en SRQ-911387 y ejecutado el 01/07/2021 .  El 7/10/21 se solicita su Baja previo backup por 1 año y que se pregunte transcurrido dicho tiempo en SRQ-994295 -  RAD-1000122. Se ejecuta la baja el 4/11 ;Red Hat Enterprise Linux 5 Up 8;HOUSING VIRTUAL
DESIDEWEB01;;10.240.240.37;10.240.236.51;SDT_DCORP;INTE-SAND-008 ;P0005-CONS;1;2;17.000 ;;;DESARROLLO;FUERA DE SERVICIO;BAJA;12x5;SERVIDOR VIRTUAL;Servidor en Servicio IAAS;Factoría De Ideas  ;J.A.RIO;;;2021-06-02;Solicitada baja del servicio SRQ-861081 y solicitada opia de seguridad en produccion con retención quinquenal  en RAD-887258. No se ha dado de Baja, aparece apagada.  Se solicita la baja SRQ-1023569 y se ejecuta el 19/11/21 ;Red Hat Enterprise Linux 6 Up 6;HOUSING VIRTUAL
DESIVAMAN01;10.240.241.32;;;SDT_SEG;Sin especificar ;P0005-SEG;2;8;100.000 ;;;DESARROLLO;FUERA DE SERVICIO;BAJA;12x5;SERVIDOR VIRTUAL;Servidor en Servicio IAAS;Maquina De Pruebas De Ivanti;;PRUEBAS;;2022-12-20;"01/10 Se solicita su apagado en SRQ-989540 por 3 meses NO se dará de BAJA para mantener una VM Windows de reten. Se ejecuta apagado en RFC-992439
10/01/22 Transcurrido 3 meses explotación arranca la VM y N2 actualiza las vulnerabilidades Windows. . 20/01/22 Se mantiene apagada en 1053372, se deja como equipo de reten. Se solicita su arranque en 1166939 
20/12/2022 - Baja de máquina tramitada en ticket SRQ-1274408 ";Windows Server 2016 Standard;HOUSING VIRTUAL
DESSADNAV01;;10.240.192.48;;SDT_ADON;INTE-NAV-002 INTE-NAV-003  ;P0000;2;4;;;;DESARROLLO;FUERA DE SERVICIO;BAJA;12x5;SERVIDOR FISICO;Servidor Base de Datos;Navision;JMGMañero;;;2021-05-12;Solicitada baja de servicio SRQ-846635 DESSADNAV01 DESARROLLO Sin copia de seguridad RAD-861957 ;Windows 2003 Server Enterprise R2 Sp2 64;HOSTING FISICO
DESSADNAV02;10.240.241.46;10.240.241.46;192.168.6.168;SDT_ADON;INTE-NAV-002 INTE-NAV-003  ;P0000;2;8;384.000 ;;;DESARROLLO;OPERATIVO;;12x5;SERVIDOR VIRTUAL;Servidor Web / Aplicaciones / Horizontal;Navision;JMGMañero;100% ADON;;;;Windows 2012 Standard R2;HOSTING VIRTUAL
DESSANBI01;10.240.240.84;10.240.240.84;172.18.0.1 / 172.19.0.1;SDT_BIH;Sin especificar ;P0005-SSII;2;2;72.000 ;;;DESARROLLO;OPERATIVO;;12x5;SERVIDOR VIRTUAL;Servidor en Servicio IAAS;Proyecto Bi-Sandetel;Alfonso Moreno;Alfonso Moreno/Navisión;;;Se solicitó por Alfonso Moreno en el tique 402395. Es la Vm que tiene la BBDD Postgress que se utiliza para explotación de datos de Navisión,;Suse Linux Enterprise Server 12 Sp3;HOUSING VIRTUAL
DESSANCLO01;10.240.241.205;;;SDT_PERS;Sin especificar ;P0005-PDT;2;4;24.000 ;;;DESARROLLO;FUERA DE SERVICIO;BAJA;12x5;SERVIDOR VIRTUAL;Servidor en Servicio IAAS; Owncloud. Iaas Cloud Empleados-Servicio Cloud 5Gb Empleados Sandetel;D.Cucala;;;2021-08-05;Se solicita baja en SRQ-953281. ;;
DESSANCOM01;10.240.240.199;10.240.240.199;;SDT_COMPLIANCE;INTE-SAND-007;P0005-COMPL;1;4;24.000 ;;;DESARROLLO;OPERATIVO;;12x5;SERVIDOR VIRTUAL;Servidor en Servicio IAAS;Compliance-Canal Denuncias;Alfonso Moreno/A.Cala;100% SSII - AMORENO;;;;Oel 7.4;HOUSING VIRTUAL
DESSANCRM01;10.240.241.200;10.240.241.200;;SDT_DCORP;INTE-IAAS-014;P0005-CONS;2;4;44.000 ;;;DESARROLLO;FUERA DE SERVICIO;BAJA;12x5;SERVIDOR VIRTUAL;Servidor en Servicio IAAS;Proyecto CRM de Sandetel;Jose Antonio del Rio;;;2022-06-14;BAJA Proyecto CRM de Sandetel. Solicitado 28/04 la eliminación con backup quinquenal en SRQ- 1125063 / RAD-1134628 . 14/06/2022. Ejecutada la baja de la RAD-1134628 solicitada en SRQ -1125063;Oracle Linux Server 7.2;HOUSING VIRTUAL
